     ____
    / _  |   Frida 12.6.20 - A world-class dynamic instrumentation toolkit
   | (_| |
    > _  |   Commands:
   /_/ |_|       help      -> Displays the help system
   . . . .       object?   -> Display information about 'object'
   . . . .       exit/quit -> Exit
   . . . .
   . . . .   More info at http://www.frida.re/docs/home/
Spawning `com.cz.babySister`...
Spawned `com.cz.babySister`. Resuming main thread!
[Google AOSP on msm8996::com.cz.babySister]-> message: {'type': 'send', 'payload': 'name:_ZNSt3__113basic_filebufIcNS_11char_traitsIcEEE7seekposENS_4fposI9mbstate_tEEj  address:0x79a08b5374'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6mirror6Method10ResetClassEv  address:0x79a076c5d8'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__16__treeINS_12__value_typeIPKhNS_6vectorIPN3art6mirror13HeapReferenceINS6_6ObjectEEENS_9allocatorISA_EEEEEENS_19__map_value_compareIS3_SE_NS_4lessIS3_EELb1EEENSB_ISE_EEE7destroyEPNS_11__tree_nodeISE_PvEE  address:0x79a05874fc'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art3dex8tracking24DexFileTrackingRegistrar14SetDexSectionsEv  address:0x79a0487b68'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art15instrumentation15Instrumentation15GetQuickCodeForEPNS_9ArtMethodENS_11PointerSizeE  address:0x79a0619b08'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11interpreter16UnstartedRuntime35UnstartedJNIByteOrderIsLittleEndianEPNS_6ThreadEPNS_9ArtMethodEPNS_6mirror6ObjectEPjPNS_6JValueE  address:0x79a06a5754'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art3jit12JitCodeCache12AllocateDataEm  address:0x79a06d61e4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art7Runtime19FixupConflictTablesEv  address:0x79a0836814'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art22ProfileCompilationInfo17GroupClassesByDexERKNSt3__13setINS0_14ClassReferenceENS1_4lessIS3_EENS_21ArenaAllocatorAdapterIS3_EEEEPNS_7SafeMapIhNS1_6vectorINS_3dex9TypeIndexENS1_9allocatorISE_EEEENS4_IhEENSF_INS1_4pairIKhSH_EEEEEE  address:0x79a06dce54'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6mirror14PrimitiveArrayIhE3SetEih  address:0x79a07561b8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11Transaction23UndoObjectModificationsEv  address:0x79a0872bdc'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art7OatFile8BssBeginEv  address:0x79a07b2210'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art26MipsInstructionSetFeatures14FromCppDefinesEv  address:0x79a08b6ae0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art8verifier14MethodVerifier19VerifyISFieldAccessILNS1_15FieldAccessTypeE1EEEvPKNS_11InstructionERKNS0_7RegTypeEbb  address:0x79a088a6c8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art20ScopedArenaAllocator7DoResetEv  address:0x79a049672c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art16WellKnownClasses28java_lang_StackOverflowErrorE  address:0x79a09e7e48'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11interpreter16UnstartedRuntime32UnstartedClassGetInnerClassFlagsEPNS_6ThreadEPNS_11ShadowFrameEPNS_6JValueEm  address:0x79a069ec60'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6mirror5Class25FindDeclaredInstanceFieldENS_6ObjPtrINS0_8DexCacheEEEj  address:0x79a0762f74'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art11InternTable16StringHashEqualsclERKNS_6GcRootINS_6mirror6StringEEERKNS0_10Utf8StringE  address:0x79a0620e60'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art18RuntimeArgumentMap9InterpretE  address:0x79a09e7770'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art7Runtime22CreateCalleeSaveMethodEv  address:0x79a0832a70'} data: None
message: {'type': 'send', 'payload': 'name:_ZN9unix_file6FdFile7DestroyEv  address:0x79a049b80c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art7Runtime26ThrowTransactionAbortErrorEPNS_6ThreadE  address:0x79a0836014'} data: None
message: {'type': 'send', 'payload': 'name:artGet32InstanceFromCompiledCode  address:0x79a08d51e4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art22ProfileCompilationInfoC1Ev  address:0x79a06d92e4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art10ThreadList25AssertThreadsAreSuspendedEPNS_6ThreadES2_S2_  address:0x79a0860e00'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art8verifier12ConflictType14CreateInstanceEPNS_6mirror5ClassERKNS_11StringPieceEt  address:0x79a0896ec8'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art7OatFile9OatMethod10LinkMethodEPNS_9ArtMethodE  address:0x79a07b5038'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art28DeleteJITCodeEntryForAddressEm  address:0x79a06ca924'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art8verifier14MethodVerifier4InitEv  address:0x79a0892590'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3artlsERNSt3__113basic_ostreamIcNS0_11char_traitsIcEEEERKNS_11ThreadStateE  address:0x79a09116f8'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art22InstructionSetFeatures30AsMips64InstructionSetFeaturesEv  address:0x79a08b3940'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11ClassLinker27AllocateIfTableMethodArraysEPNS_6ThreadENS_6HandleINS_6mirror5ClassEEENS3_INS4_7IfTableEEE  address:0x79a04f09f4'} data: None
message: {'type': 'send', 'payload': 'name:_ZThn56_N3art2gc5space13FreeListSpace5AllocEPNS_6ThreadEmPmS5_S5_  address:0x79a05fa10c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art5Locks37reference_queue_weak_references_lock_E  address:0x79a09e5780'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art22ProfileCompilationInfo20GetMethodsRegionSizeERKNS0_11DexFileDataE  address:0x79a06dbe40'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art25EncodedArrayValueIteratorC2ERKNS_7DexFileEPKh  address:0x79a05492d8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art3Dbg30dex_pc_change_event_ref_count_E  address:0x79a09e5880'} data: None
message: {'type': 'send', 'payload': 'name:artSetObjStaticFromCode  address:0x79a08d7180'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art16OpenAndReadMagicEPKcPjPNSt3__112basic_stringIcNS3_11char_traitsIcEENS3_9allocatorIcEEEE  address:0x79a0491e70'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__112__hash_tableINS_17__hash_value_typeINS_12basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEPKN3art7DexFileEEENS_22__unordered_map_hasherIS7_SC_NS_4hashIS7_EELb1EEENS_21__unordered_map_equalIS7_SC_NS_8equal_toIS7_EELb1EEENS5_ISC_EEE6rehashEm  address:0x79a06e4c18'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc4Heap32RevokeRosAllocThreadLocalBuffersEPNS_6ThreadE  address:0x79a05dbcb4'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__112__hash_tableINS_17__hash_value_typeIPKN3art6mirror6ObjectEPKNS2_2gc21AllocRecordStackTraceEEENS_22__unordered_map_hasherIS6_SB_NS_4hashIS6_EELb1EEENS_21__unordered_map_equalIS6_SB_NS_8equal_toIS6_EELb1EEENS_9allocatorISB_EEE4findIS6_EENS_15__hash_iteratorIPNS_11__hash_nodeISB_PvEEEERKT_  address:0x79a060dd30'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art31SetQuickAllocEntryPoints_regionEPNS_16QuickEntryPointsEb  address:0x79a08cc4ac'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9collector16PartialMarkSweepC1EPNS0_4HeapEbRKNSt3__112basic_stringIcNS5_11char_traitsIcEENS5_9allocatorIcEEEE  address:0x79a05b6eac'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art16WellKnownClasses22StringInitToEntryPointEPNS_9ArtMethodE  address:0x79a08afee0'} data: None
message: {'type': 'send', 'payload': 'name:_ZTVNSt3__115basic_stringbufIcNS_11char_traitsIcEENS_9allocatorIcEEEE  address:0x79a09d3cc0'} data: None
message: {'type': 'send', 'payload': 'name:_ZNKSt3__110__function6__funcIN7android4base10LogdLoggerENS_9allocatorIS4_EEFvNS3_5LogIdENS3_11LogSeverityEPKcSA_jSA_EE7__cloneEv  address:0x79a0492ad0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art13GetThreadNameEi  address:0x79a0875708'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art6Thread13GetThreadNameERNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE  address:0x79a084fd84'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art12ProfileSaver38FetchAndCacheResolvedClassesAndMethodsEb  address:0x79a06e6730'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art5arm64lsERNSt3__113basic_ostreamIcNS1_11char_traitsIcEEEERKNS0_9DRegisterE  address:0x79a08b66a4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art9BitVector10NumSetBitsEPKjj  address:0x79a049065c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc10accounting11SpaceBitmapILm8EE10ClearRangeEPKNS_6mirror6ObjectES7_  address:0x79a058d360'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9collector9SemiSpace27IsNullOrMarkedHeapReferenceEPNS_6mirror13HeapReferenceINS3_6ObjectEEEb  address:0x79a05ba4e4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11interpreter16UnstartedRuntime26UnstartedClassClassForNameEPNS_6ThreadEPNS_11ShadowFrameEPNS_6JValueEm  address:0x79a069d3e4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art16OatFileAssistant7Dex2OatERKNSt3__16vectorINS1_12basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEENS6_IS8_EEEEPS8_  address:0x79a07bad74'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art7Barrier4PassEPNS_6ThreadE  address:0x79a048dd0c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art7Runtime17InitNativeMethodsEv  address:0x79a0830c3c'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__16vectorIPN3art16ThreadPoolWorkerENS_9allocatorIS3_EEE21__push_back_slow_pathIS3_EEvOT_  address:0x79a086a088'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art8verifier9ShortType9instance_E  address:0x79a09e7ce0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9collector12ImmuneSpaces5ResetEv  address:0x79a05a6398'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art4JDWP9JdwpState10ResetStateEv  address:0x79a06c1e14'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9collector11MarkCompact20MarkReachableObjectsEv  address:0x79a05a9088'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art5Trace7DumpBufEPhmNS_16TraceClockSourceE  address:0x79a086eb9c'} data: None
message: {'type': 'send', 'payload': 'name:artSetByteStaticFromCode  address:0x79a08cf400'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art15instrumentation15Instrumentation30GetCurrentInstrumentationLevelEv  address:0x79a06176d8'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__18functionIFRN3art6MemoryILm1EEEvEE4swapERS6_  address:0x79a07eeb1c'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art7OatFile6DexEndEv  address:0x79a07b0a4c'} data: None
message: {'type': 'send', 'payload': 'name:MterpHandleException  address:0x79a08eb0e8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art3Dbg17GetInstanceCountsERKNSt3__16vectorImNS1_9allocatorImEEEEPS5_  address:0x79a051f09c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art9JNIEnvExt13GetEnvHandlerEPNS_9JavaVMExtEPPvi  address:0x79a06c93e0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN9unix_file6FdFileC2Ev  address:0x79a049b414'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art17TrackedAllocators16g_max_bytes_usedE  address:0x79a09e5518'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art7DexFile14LineNumForPcCbEPvRKNS0_12PositionInfoE  address:0x79a0547d24'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art8verifier12RegTypeCache15MatchDescriptorEmRKNS_11StringPieceEb  address:0x79a089db4c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN7android4base17ScopedLogSeverityC2ENS0_11LogSeverityE  address:0x79a091fefc'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9allocator8RosAlloc28LogFragmentationAllocFailureERNSt3__113basic_ostreamIcNS3_11char_traitsIcEEEEm  address:0x79a0581544'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art9JavaVMExt22DisallowNewWeakGlobalsEv  address:0x79a06ae810'} data: None
message: {'type': 'send', 'payload': 'name:_ZTVN3art2gc9collector9MarkSweep25CheckpointMarkThreadRootsE  address:0x79a09d5e48'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11interpreter11DoIGetQuickILNS_9Primitive4TypeE6EEEbRNS_11ShadowFrameEPKNS_11InstructionEt  address:0x79a0635b4c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6mirror14PrimitiveArrayIsE7MemmoveEiNS_6ObjPtrIS2_EEii  address:0x79a0756c14'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art5arm6412Arm64Context15FillCalleeSavesEPhRKNS_20QuickMethodFrameInfoE  address:0x79a08fd5d4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc4Heap17CheckGcStressModeEPNS_6ThreadEPNS_6ObjPtrINS_6mirror6ObjectEEE  address:0x79a05dce94'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6mirror10Executable19CreateFromArtMethodILNS_11PointerSizeE8ELb0EEEbPNS_9ArtMethodE  address:0x79a076b130'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc4Heap16RecordFreeRevokeEv  address:0x79a05cca80'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art7Monitor21AtraceMonitorLockImplEPNS_6ThreadEPNS_6mirror6ObjectEb  address:0x79a0775a5c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11InternTable5Table6RemoveENS_6ObjPtrINS_6mirror6StringEEE  address:0x79a061f1dc'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art4JDWP16JdwpNetStateBase14HaveFullPacketEv  address:0x79a06c0bac'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc4Heap16ClearPendingTrimEPNS_6ThreadE  address:0x79a05db8c4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art16WellKnownClasses23java_lang_Daemons_startE  address:0x79a09e7ef8'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art7DexFile10IsReadOnlyEv  address:0x79a0541f48'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art18FindMethodFromCodeILNS_10InvokeTypeE3ELb1EEEPNS_9ArtMethodEjPNS_6ObjPtrINS_6mirror6ObjectEEES3_PNS_6ThreadE  address:0x79a0625960'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art16WellKnownClasses34dalvik_system_DexPathList__ElementE  address:0x79a09e7d90'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc4Heap14CollectGarbageEb  address:0x79a05d53bc'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6mirror9Throwable13GetStackTraceEv  address:0x79a077437c'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__16vectorINS_10unique_ptrIN3art6detail23CmdlineParseArgumentAnyENS_14default_deleteIS4_EEEENS_9allocatorIS7_EEE21__push_back_slow_pathIS7_EEvOT_  address:0x79a07d3434'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art16RuntimeCallbacks16NextRuntimePhaseENS_20RuntimePhaseCallback12RuntimePhaseE  address:0x79a08380f0'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__16__treeINS_12basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEENS_4lessIS6_EENS4_IS6_EEE12__find_equalIS6_EERPNS_16__tree_node_baseIPvEERPNS_15__tree_end_nodeISF_EERKT_  address:0x79a050d630'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11interpreter10DoFieldPutILNS_13FindFieldTypeE5ELNS_9Primitive4TypeE0ELb0ELb1EEEbPNS_6ThreadERKNS_11ShadowFrameEPKNS_11InstructionEt  address:0x79a0644b14'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art5Trace15AllocStackTraceEv  address:0x79a086b8f0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11InternTable27RemoveStrongFromTransactionENS_6ObjPtrINS_6mirror6StringEEE  address:0x79a061fd9c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art13fault_managerE  address:0x79a09e5900'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__110__function6__funcIPFvPKcENS_9allocatorIS5_EES4_E18destroy_deallocateEv  address:0x79a048e408'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art17IsValidMemberNameEPKc  address:0x79a0877e4c'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art2gc4Heap30FindContinuousSpaceFromAddressEPKNS_6mirror6ObjectE  address:0x79a05c7180'} data: None
message: {'type': 'send', 'payload': 'name:_tr_stored_block  address:0x79a091beec'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art10ClassTable10VisitRootsINS_2gc5space16ImageSpaceLoader16FixupRootVisitorEEEvRT_  address:0x79a05f6138'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art3jit16ScopedJitSuspendC1Ev  address:0x79a06cfce8'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art11InternTable16StringHashEqualsclERKNS_6GcRootINS_6mirror6StringEEE  address:0x79a0620e24'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art10ThreadPool18SetPthreadPriorityEi  address:0x79a0869628'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6mirror5Class16VisitNativeRootsILNS_17ReadBarrierOptionE1EKNS_2gc9collector17ConcurrentCopying30VerifyNoMissingCardMarkVisitorEEEvRT0_NS_11PointerSizeE  address:0x79a05a3f18'} data: None
message: {'type': 'send', 'payload': 'name:_ZThn72_N3art2gc5space16BumpPointerSpace24RevokeThreadLocalBuffersEPNS_6ThreadE  address:0x79a05e95e4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art32ComputeUtf16HashFromModifiedUtf8EPKcm  address:0x79a0875448'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6appendEmc  address:0x79a091ff20'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art11ElfFileImplI10ElfTypes64E13GetLoadedSizeEPmPNSt3__112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEE  address:0x79a056bd94'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9allocator8RosAlloc3Run6VerifyEPNS_6ThreadEPS2_b  address:0x79a057feac'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art5Trace27GetClockOverheadNanoSecondsEv  address:0x79a086ba50'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc5space16LargeObjectSpace8FreeListEPNS_6ThreadEmPPNS_6mirror6ObjectE  address:0x79a05f8d1c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11interpreter11DoIGetQuickILNS_9Primitive4TypeE3EEEbRNS_11ShadowFrameEPKNS_11InstructionEt  address:0x79a0635724'} data: None
message: {'type': 'send', 'payload': 'name:MterpDoPackedSwitch  address:0x79a08e6980'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__120__shared_ptr_emplaceIPFviENS_9allocatorIS2_EEE16__on_zero_sharedEv  address:0x79a0487b68'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art8verifier14MethodVerifier24FindInvokedMethodAtDexPcEj  address:0x79a087f054'} data: None
